subid,order,practice1,practice2,practice3,practice4,practice5,practice6,trial1_comp_like,trial1_comp_tell,trial1_SWhy,trial1_LFeel,trial1_1,trial1_2,trial1_3,trial2_comp_like,trial2_comp_tell,trial2_SWhy,trial2_LFeel,trial2_1,trial2_2,trial2_3,trial1_2_play,trial1_2_playWhy,trial3_comp_like,trial3_comp_tell,trial3_SWhy,trial3_LFeel,trial3_1,trial3_2,trial3_3,trial4_comp_like,trial4_comp_tell,trial4_SWhy,trial4_LFeel,trial4_1,trial4_2,trial4_3,trial3_4_play,trial3_4_playWhy,trial5_comp_like,trial5_comp_tell,trial5_SWhy,trial5_LFeel,trial5_1,trial5_2,trial5_3,trial6_comp_like,trial6_comp_tell,trial6_SWhy,trial6_LFeel,trial6_1,trial6_2,trial6_3,trial5_6_play,trial5_6_playWhy,trial7_comp_like,trial7_comp_tell,trial7_SWhy,trial7_LFeel,trial7_1,trial7_2,trial7_3,trial8_comp_like,trial8_comp_tell,trial8_SWhy,trial8_LFeel,trial8_1,trial8_2,trial8_3,trial7_8_play,trial7_8_playWhy
180716-02,1,Y,Y,Y,Y,Y,Y,Y,Y,Not yummy,Sad,N,N,N,Y,Y,Yucky and yummy,Sad,Y,N,Y,Mary,her shoes,Y,Y,Beautiful,Happy,Y,N,Y,Y,Y,Beautiful,Happy,Y,N,Y,Richard,nice,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,Y,N,Y,Bobby,nice,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,Y,N,Y,Gabby,nice
180716-03,2,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Sally,told truth,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,N,Y,Richard,told truth,Y,Y,Boring,Bored,Y,N,Y,Y,Y,Not make sad,Bored,N,Y,N,Bobby,told truth,Y,Y,Not be sad,Happy,N,Y,N,Y,Y,Tell truth,Bored,Y,N,Y,Nancy,told truth
180718-01,1,Y,Y,Y,Y,Y,Y,Y,Y,Tell truth,Sad,Y,N,Y,Y,Y,Be nice,Happy,Y,Y,N,Sally,told truth,Y,Y,Be nice,Good,Y,N,N,Y,Y,Be nice,Good,Y,N,N,Richard,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,Y,N,N,Bobby,told truth,Y,Y,NA,NA,Y,N,N,Y,Y,NA,NA,Y,N,N,Nancy,told truth
180718-02,3,Y,Y,Y,Y,Y,Y,Y,Y,Don't know,Good,N,Y,N,Y,Y,Not lie,Sad,Y,N,Y,Nancy,told truth,Y,Y,Not lie,Sad,Y,N,N,Y,Y,Not make him feel sad,Happy,N,Y,N,Don't know,Don't know,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,N,Y,Richard,didn't lie,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Sally,didn't lie
180718-03,4,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,N,N,N,Y,Y,NA,NA,N,N,Y,NA,NA,Y,Y,NA,NA,N,N,Y,Y,Y,NA,NA,N,N,N,NA,NA,Y,Y,Not hurt feelings,Happy,N,N,N,Y,Y,Tell truth,Sad,N,N,Y,Richard,told truth,Y,Y,Tell truth,Sad,N,N,Y,Y,Y,Not get in trouble,Sad,N,N,N,Sally,told truth
180718-04,4,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,Y,N,Y,Nancy,Don't know,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,Y,N,Y,Bobby,Don't know,Y,Y,Don't know,Happy,Y,N,N,Y,Y,Didn't do it properly,Sad,N,Y,Y,Stanley,Don't know,Y,Y,Tasted bad,Sad,N,Y,Y,Y,Y,Don't know,Sad,Y,N,Y,Mary,don’t know
180718-05,2,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,N,Y,Y,NA,NA,N,N,N,Sally,told truth,Y,Y,NA,NA,N,N,N,Y,Y,NA,NA,Y,N,N,Richard,Want friend that doesn't lie,Y,Y,It's what he thought,Feeling hurt,N,Y,N,Y,Y,Not hurt feelings,"Happy, confused?",N,N,N,Bobby,Don't want friend that tells me wrong things,Y,Y,Not hurt feelings,Confused again?,N,N,N,Y,Y,Not lie,Sad,Y,Y,N,Nancy,"Doesn't lie, although Gabby was nicer"
180718-06,3,Y,Y,Y,Y,Y,Y,Y,Y,Being nice,Sad,N,N,Y,Y,Y,Being nice,Sad,N,Y,N,Don’t know,NA,Y,Y,Wasn't nice,Sad,N,Y,N,Y,Y,Wasn't nice,Sad,N,Y,N,Don't know,NA,Y,Y,NA,NA,N,N,Y,Y,Y,NA,NA,Y,N,Y,Don't know,NA,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,N,Y,N,Don't know,NA
180718-07,2,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Sally,told truth,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,N,Y,Richard,told truth,Y,Y,Tell truth,Don't know,Y,N,Y,Y,Y,Lied,Awkward,N,Y,N,Bobby,told truth,Y,Y,Liked it,Don't know,N,Y,N,Y,Y,Tell truth,Don't know,Y,N,Y,Nancy,told truth
180718-08,1,Y,Y,Y,Y,Y,Y,Y,Y,Don't know,Sad,N,Y,Y,Y,Y,Don't know,Sad,N,Y,N,Mary,Don’t know,Y,Y,Don't know,Sad,N,Y,N,Y,Y,Don't know,Sad,N,Y,N,Richard,don't know,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,N,Y,N,Bobby,don't know,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,N,Y,N,Nancy,don't know
180719-01,3,Y,Y,Y,Y,Y,Y,Y,Y,To impress him,Fine,N,Y,N,Y,Y,Thought it was weird,Bad,Y,Y,Y,Nancy,told truth,Y,Y,Thought it was boring,Fine,Y,N,Y,Y,Y,Not upset him,Fine,N,Y,N,Bobby,told truth,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,N,Y,Richard,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Sally,told truth
180719-02,4,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,N,N,N,Y,Y,NA,NA,Y,N,Y,Nancy,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Bobby,told truth,Y,Y,Not make feel bad,Don't know,N,Y,N,Y,Y,It was ugly,Don't know,Y,N,Y,Richard,told truth,Y,Y,It was yucky,Don't know,Y,N,Y,Y,Y,Not make feel bad,Don't know,N,Y,N,Sally,told truth
180719-03,4,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,N,Y,Y,NA,NA,Y,N,Y,Nancy,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,Y,N,N,Bobby,told truth,Y,Y,Not make  mad,Good,Y,N,N,Y,Y,It was the truth,Happy about truth,Y,N,Y,Richard,told truth,Y,Y,It was the truth,Good,Y,N,Y,Y,Y,Not make  sad,Sad she didn’t tell truth,Y,N,Y,Sally,told truth
180719-04,3,Y,Y,Y,Y,Y,Y,Y,Y,Make happy,Sad,N,Y,N,Y,Y,Tell truth,Sad,Y,N,Y,Nancy,told truth,Y,Y,Tell truth,Sad,Y,N,Y,Y,Y,Not tell truth,Sad,N,Y,N,Bobby,told truth,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,N,Y,Richard,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Sally,told truth
180719-05,2,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,N,N,Y,Y,Y,NA,NA,Y,N,Y,Mary,don't know,Y,Y,NA,NA,Y,N,N,Y,Y,NA,NA,Y,N,Y,Stanley,don't know,Y,Y,Don't know,Sad,Y,N,Y,Y,Y,Don't know,Sad,Y,N,Y,Colin,don't know,Y,Y,Don't know,Sad,Y,N,Y,Y,Y,Don't know,Sad,Y,N,Y,Gabby,don't know
180719-06,4,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,N,Y,Y,NA,NA,Y,N,Y,Gabby,don't know,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Bobby,told truth,Y,Y,Not upset him,Happy,N,Y,N,Y,Y,Being honest,Sad,Y,N,Y,Richard,told truth,Y,Y,It was yucky,Sad,Y,N,Y,Y,Y,Not upset him,Happy,N,Y,N,Sally,told truth
180719-07,3,Y,Y,Y,Y,Y,Y,Y,Y,Not feel bad,Good,N,N,Y,Y,Y,It's what she thought,Sad,Y,Y,N,Gabby,feel good,Y,Y,It's how he felt,Surprised,Y,N,Y,Y,Y,Make feel good,Good,N,N,Y,Colin,I play with people that don't hurt feelings,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,N,Y,Richard,told truth,Y,Y,NA,NA,Y,Y,N,Y,Y,NA,NA,N,N,Y,Mary,wouldn't hurt my feelings
180723-01,1,Y,Y,Y,Y,Y,Y,Y,Y,It was yucky,Sad,N,N,N,Y,Y,I don't know,Good,Y,N,N,Mary,don't know,Y,Y,It was pretty,Good,Y,N,N,Y,Y,It was ugly,Sad,N,N,Y,Stanley,don't know,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,Y,N,N,Colin,don't know,Y,Y,NA,NA,Y,N,N,Y,Y,NA,NA,N,N,N,Gabby,don't know
180723-02,2,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,N,Y,Y,NA,NA,N,Y,N,Sally,told truth,Y,Y,NA,NA,N,N,N,Y,Y,NA,NA,Y,N,Y,Stanley,don't know,Y,Y,It was the truth,Sad,Y,N,N,Y,Y,Not make him feel bad,Good,N,N,Y,Colin,nice,Y,Y,Not hurt feelings,Good,N,N,Y,Y,Y,It was the truth,Not good,Y,N,Y,Gabby,don't know
180723-03,3,Y,Y,Y,Y,Y,Y,Y,Y,Not make sad,Good,N,Y,N,Y,Y,Not make sad,Bad,Y,N,Y,Nancy,told truth,Y,Y,I don't know, I don't know,Y,N,Y,Y,Y,I don't know,Happy,N,Y,N,Bobby,told truth,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,N,Y,Richard,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Sally,told truth
180723-04,1,Y,Y,Y,Y,Y,Y,Y,Y,It was yucky,Sad,Y,N,Y,Y,Y,It tasted good,Good,Y,N,Y,Sally,told truth,Y,Y,Make feel good,Good,Y,N,N,Y,Y,It was ugly,Sad,Y,N,Y,Richard,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,Y,N,N,Bobby,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,Y,N,Y,Nancy,told truth
180723-05,2,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Sally,told truth,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,N,Y,Richard,told truth,Y,Y,Didn't like it,Bad,Y,Y,N,Y,Y,Not feel bad,Happy,N,N,Y,Bobby,told truth,Y,Y,Not feel bad,Happy,N,N,Y,Y,Y,Didn't like it,Sad,Y,N,Y,Nancy,told truth
